Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
160,0.0,4.955122584165997,5.0,0,2018-05-10
177,0.0,4.4073288175361,4.0,1,2018-04-23
114,0.0,4.362078996864185,3.0,1,2018-06-25
112,0.0,4.822858886619337,5.0,1,2018-06-27
70,0.0,4.523743187292363,5.0,1,2018-08-08
73,0.0,4.781808959646548,3.0,1,2018-08-05
72,0.0,4.9930142853388535,3.0,0,2018-08-06
79,0.0,4.351438552905858,5.0,1,2018-07-30
162,0.0,4.6392817156168595,3.0,1,2018-05-08
133,0.0,4.422688616392771,3.0,1,2018-06-06
63,0.0,4.4146148242670336,4.0,1,2018-08-15
57,0.0,4.417152436649256,4.0,1,2018-08-21
152,0.0,4.36792771029438,4.0,1,2018-05-18
159,0.0,4.491441420659749,5.0,1,2018-05-11
113,0.0,4.375882799913392,5.0,1,2018-06-26
191,0.0,4.686381441412914,5.0,1,2018-04-09
125,0.0,4.346658490836091,5.0,1,2018-06-14
151,0.0,4.775250456359692,5.0,1,2018-05-19
105,0.0,4.782897873771819,4.0,1,2018-07-04
133,0.0,4.995724681360501,2.0,2,2018-06-06
56,0.0,4.505349850705881,5.0,1,2018-08-22
63,0.0,4.91734973004026,5.0,0,2018-08-15
106,0.0,4.489759334476764,5.0,1,2018-07-03
131,0.0,4.37424644735492,5.0,1,2018-06-08
177,0.0,4.586598800402656,4.0,1,2018-04-23
175,0.0,4.918520005188451,4.0,0,2018-04-25
173,0.0,4.971963763447986,3.0,0,2018-04-27
79,0.0,4.741273268980431,3.0,1,2018-07-30
59,0.0,4.76080547751954,5.0,1,2018-08-19
117,0.0,4.363226005210164,5.0,1,2018-06-22
75,0.0,4.637346917683312,5.0,1,2018-08-03
77,0.0,4.547117254539474,5.0,1,2018-08-01
152,0.0,4.801394647951038,5.0,1,2018-05-18
176,0.0,4.932601677957155,5.0,0,2018-04-24
82,0.0,4.445822692753958,5.0,1,2018-07-27
172,0.0,4.51085950651685,5.0,1,2018-04-28
195,0.0,4.955827057601261,1.0,2,2018-04-05
95,0.0,4.826952811662959,4.0,1,2018-07-14
93,0.0,4.816160181129731,5.0,1,2018-07-16
185,0.0,4.855539723555893,2.0,2,2018-04-15
92,0.0,4.8182634014487995,4.0,1,2018-07-17
81,0.0,5.001930853466109,3.0,0,2018-07-28
148,0.0,4.476995847264583,5.0,1,2018-05-22
137,0.0,4.6839813664123815,5.0,1,2018-06-02
148,0.0,4.740749480229915,5.0,1,2018-05-22
56,0.0,4.888994828112567,5.0,0,2018-08-22
156,0.0,4.585885424576224,1.0,2,2018-05-14
96,0.0,4.366912996863833,2.0,2,2018-07-13
166,0.0,4.569232079182462,3.0,1,2018-05-04
197,0.0,4.487512142519859,4.0,1,2018-04-03
189,0.0,4.409520198982804,5.0,1,2018-04-11
154,0.0,4.895374075983382,1.0,2,2018-05-16
188,0.0,4.9346897371814515,5.0,0,2018-04-12
100,0.0,4.9608145991123,3.0,0,2018-07-09
68,0.0,4.4725526613732525,4.0,1,2018-08-10
76,0.0,4.535605722602182,1.0,2,2018-08-02
139,0.0,4.7665234363458495,5.0,1,2018-05-31
66,0.0,4.359141762136423,5.0,1,2018-08-12
132,0.0,4.612642200826793,5.0,1,2018-06-07
96,0.0,4.478359019121704,5.0,1,2018-07-13
153,0.0,4.417876287567579,1.0,2,2018-05-17
175,0.0,4.423288532422522,3.0,1,2018-04-25
121,0.0,4.395682961121367,4.0,1,2018-06-18
107,0.0,4.548599834499697,5.0,1,2018-07-02
197,0.0,4.524610678129674,5.0,1,2018-04-03
113,0.0,4.6524353784552055,5.0,1,2018-06-26
120,0.0,4.719302120033004,5.0,1,2018-06-19
92,0.0,4.410614091525794,4.0,1,2018-07-17
90,0.0,4.700207601322843,5.0,1,2018-07-19
156,0.0,4.69519368863568,4.0,1,2018-05-14
131,0.0,4.423888088768799,5.0,1,2018-06-08
