Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
160,1,141.9,5.0,3,2018-05-10
177,1,82.05,4.0,3,2018-04-23
114,1,78.42,3.0,3,2018-06-25
112,1,124.32,5.0,3,2018-06-27
70,1,92.18,5.0,3,2018-08-08
73,1,119.32,3.0,3,2018-08-05
72,1,147.38,3.0,3,2018-08-06
79,1,77.59,5.0,3,2018-07-30
162,1,103.47,3.0,3,2018-05-08
133,1,83.32,3.0,3,2018-06-06
63,1,82.65,4.0,3,2018-08-15
57,1,82.86,4.0,3,2018-08-21
152,1,78.88,4.0,3,2018-05-18
159,1,89.25,5.0,3,2018-05-11
113,1,79.51,5.0,3,2018-06-26
191,1,108.46,5.0,3,2018-04-09
125,1,77.22,5.0,3,2018-06-14
151,1,118.54,5.0,3,2018-05-19
105,1,119.45,4.0,3,2018-07-04
133,1,147.78,2.0,1,2018-06-06
56,1,90.5,5.0,3,2018-08-22
63,1,136.64,5.0,3,2018-08-15
106,1,89.1,5.0,3,2018-07-03
131,1,79.38,5.0,3,2018-06-08
177,1,98.16,4.0,3,2018-04-23
175,1,136.8,4.0,3,2018-04-25
173,1,144.31,3.0,3,2018-04-27
79,1,114.58,3.0,3,2018-07-30
59,1,116.84,5.0,3,2018-08-19
117,1,78.51,5.0,3,2018-06-22
75,1,103.27,5.0,3,2018-08-03
77,1,94.36,5.0,3,2018-08-01
152,1,121.68,5.0,3,2018-05-18
176,1,138.74,5.0,3,2018-04-24
82,1,85.27,5.0,3,2018-07-27
172,1,91.0,5.0,3,2018-04-28
195,1,142.0,1.0,1,2018-04-05
95,1,124.83,4.0,3,2018-07-14
93,1,123.49,5.0,3,2018-07-16
185,1,128.45,2.0,1,2018-04-15
92,1,123.75,4.0,3,2018-07-17
81,1,148.7,3.0,3,2018-07-28
148,1,87.97,5.0,3,2018-05-22
137,1,108.2,5.0,3,2018-06-02
148,1,114.52,5.0,3,2018-05-22
56,1,132.82,5.0,3,2018-08-22
156,1,98.09,1.0,1,2018-05-14
96,1,78.8,2.0,1,2018-07-13
166,1,96.47,3.0,3,2018-05-04
197,1,88.9,4.0,3,2018-04-03
189,1,82.23,5.0,3,2018-04-11
154,1,133.67,1.0,1,2018-05-16
188,1,139.03,5.0,3,2018-04-12
100,1,142.71,3.0,3,2018-07-09
68,1,87.58,4.0,3,2018-08-10
76,1,93.28,1.0,1,2018-08-02
139,1,117.51,5.0,3,2018-05-31
66,1,78.19,5.0,3,2018-08-12
132,1,100.75,5.0,3,2018-06-07
96,1,88.09,5.0,3,2018-07-13
153,1,82.92,1.0,1,2018-05-17
175,1,83.37,3.0,3,2018-04-25
121,1,81.1,4.0,3,2018-06-18
107,1,94.5,5.0,3,2018-07-02
197,1,92.26,5.0,3,2018-04-03
113,1,104.84,5.0,3,2018-06-26
120,1,112.09,5.0,3,2018-06-19
92,1,82.32,4.0,3,2018-07-17
90,1,109.97,5.0,3,2018-07-19
156,1,109.42,4.0,3,2018-05-14
131,1,83.42,5.0,3,2018-06-08
112,1,79.13,4.0,3,2018-06-27
115,1,99.65,5.0,3,2018-06-24
153,1,116.26,5.0,3,2018-05-17
128,1,140.91,5.0,3,2018-06-11
74,1,87.17,4.0,3,2018-08-04
160,1,126.81,5.0,3,2018-05-10
69,1,90.62,5.0,3,2018-08-09
97,1,115.0,3.0,3,2018-07-12
176,1,83.75,3.0,3,2018-04-24
93,1,98.56,4.0,3,2018-07-16
78,1,87.39,5.0,3,2018-07-31
61,1,104.72,5.0,3,2018-08-17
166,1,131.43,5.0,3,2018-05-04
188,1,93.82,4.0,3,2018-04-12
90,1,83.82,5.0,3,2018-07-19
84,1,127.66,5.0,3,2018-07-25
177,1,76.39,5.0,3,2018-04-23
174,1,145.37,5.0,3,2018-04-26
76,1,119.53,4.0,3,2018-08-02
187,1,129.32,5.0,3,2018-04-13
156,1,91.79,4.0,3,2018-05-14
76,1,78.0,5.0,3,2018-08-02
138,1,96.46,5.0,3,2018-06-01
126,1,87.66,5.0,3,2018-06-13
134,1,121.4,5.0,3,2018-06-05
168,1,90.44,4.0,3,2018-05-02
78,1,118.62,5.0,3,2018-07-31
114,1,88.51,5.0,3,2018-06-25
174,1,99.9,5.0,3,2018-04-26
95,1,91.76,5.0,3,2018-07-14
186,1,139.82,5.0,3,2018-04-14
153,1,116.95,4.0,3,2018-05-17
148,1,101.72,5.0,3,2018-05-22
79,1,140.67,4.0,3,2018-07-30
60,1,138.5,5.0,3,2018-08-18
65,1,131.71,4.0,3,2018-08-13
64,1,98.11,5.0,3,2018-08-14
194,1,142.54,4.0,3,2018-04-06
127,1,106.07,5.0,3,2018-06-12
176,1,93.91,5.0,3,2018-04-24
60,1,139.94,3.0,3,2018-08-18
129,1,110.41,5.0,3,2018-06-10
75,1,145.94,3.0,3,2018-08-03
175,1,107.22,5.0,3,2018-04-25
56,1,117.81,5.0,3,2018-08-22
160,1,142.34,5.0,3,2018-05-10
86,1,117.45,5.0,3,2018-07-23
155,1,75.78,5.0,3,2018-05-15
122,1,101.55,4.0,3,2018-06-17
181,1,99.52,5.0,3,2018-04-19
135,1,137.45,4.0,3,2018-06-04
167,1,102.53,5.0,3,2018-05-03
150,1,94.11,3.0,3,2018-05-20
142,1,89.36,5.0,3,2018-05-28
86,1,122.84,5.0,3,2018-07-23
167,1,82.35,5.0,3,2018-05-03
190,1,88.36,3.0,3,2018-04-10
119,1,86.41,1.0,1,2018-06-20
163,1,93.91,5.0,3,2018-05-07
189,1,82.9,5.0,3,2018-04-11
90,1,116.8,4.0,3,2018-07-19
62,1,118.49,5.0,3,2018-08-16
154,1,149.45,5.0,3,2018-05-16
123,1,148.02,5.0,3,2018-06-16
177,1,148.35,5.0,3,2018-04-23
154,1,126.74,5.0,3,2018-05-16
131,1,117.96,5.0,3,2018-06-08
92,1,108.53,5.0,3,2018-07-17
98,1,122.55,5.0,3,2018-07-11
166,1,140.88,5.0,3,2018-05-04
159,1,98.52,1.0,1,2018-05-11
100,1,112.05,5.0,3,2018-07-09
157,1,117.78,1.0,1,2018-05-13
121,1,99.45,4.0,3,2018-06-18
136,1,138.71,5.0,3,2018-06-03
128,1,133.71,5.0,3,2018-06-11
85,1,122.87,3.0,3,2018-07-24
55,1,136.93,5.0,3,2018-08-23
177,1,117.35,4.0,3,2018-04-23
196,1,78.99,4.0,3,2018-04-04
65,1,113.9,5.0,3,2018-08-13
57,1,144.95,5.0,3,2018-08-21
61,1,136.86,5.0,3,2018-08-17
195,1,116.24,5.0,3,2018-04-05
