,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),BuildingType,PrimaryPropertyType,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),ENERGYSTARScore,TotalGHGEmissions,AgeBuilding,ProportionGFABuilding,ProportionGFAParking,ProportionElectricity,ProportionNaturalGas,ProportionSteamUse,NumberofFloorsByBuildings
0,1927,1.0,12,88434,0,88434,NonResidential,Hotel,Hotel,Hotel,None,None,88434.0,0.0,0.0,2003882.0,3946027.0,1276453.0,7226362.5,81.69999695,60.0,249.98,89,1.0,0.0,0.546059929874816,0.1766383848028659,0.277301616131214,12.0
1,1996,1.0,11,103566,15064,88502,NonResidential,Hotel,"Hotel, Parking, Restaurant",Hotel,Parking,Restaurant,83880.0,15064.0,4622.0,0.0,3242851.0,5145082.0,8387933.0,94.80000305,61.0,295.86,20,0.8545468590077825,0.1454531409922175,0.38660907281925116,0.6133909271807488,0.0,11.0
2,1969,1.0,41,956110,196718,759392,NonResidential,Hotel,Hotel,Hotel,None,None,756493.0,0.0,0.0,21566554.0,49526664.0,1493800.0,72587024.0,96.0,43.0,2089.28,47,0.7942517074395206,0.20574829256047944,0.6823074052464253,0.020579435795576907,0.29711307629859574,41.0
3,1926,1.0,10,61320,0,61320,NonResidential,Hotel,Hotel,Hotel,None,None,61320.0,0.0,0.0,2214446.25,2768924.0,1811213.0,6794584.0,110.8000031,56.0,286.43,90,1.0,0.0,0.40751928300540546,0.2665671658485641,0.32591344076399675,10.0
4,1980,1.0,18,175580,62000,113580,NonResidential,Hotel,"Hotel, Parking, Swimming Pool",Hotel,Parking,Swimming Pool,123445.0,68009.0,0.0,0.0,5368607.0,8803998.0,14172606.0,114.8000031,75.0,505.01,36,0.6468846110035311,0.3531153889964688,0.3788016826263286,0.6211982468150177,0.0,18.0
5,1999,1.0,2,97288,37198,60090,Nonresidential COS,Other,Police Station,Police Station,None,None,88830.0,0.0,0.0,0.0,7371434.0,4715182.0,12086616.0,136.1000061,,301.81,17,0.6176506866211661,0.382349313378834,0.609884023783001,0.39011597621699906,0.0,2.0
6,1926,1.0,11,83008,0,83008,NonResidential,Hotel,Hotel,Hotel,None,None,81352.0,0.0,0.0,0.0,2811215.0,2947580.0,5758795.0,70.80000305,27.0,176.14,90,1.0,0.0,0.4881602835315374,0.5118397164684626,0.0,11.0
7,1926,1.0,8,102761,0,102761,NonResidential,Other,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,None,None,102761.0,0.0,0.0,2276286.5,3636655.0,385189.0,6298131.5,61.29999924,,221.51,90,1.0,0.0,0.5774180802671396,0.061159250168085565,0.36142251078752485,8.0
8,1904,1.0,15,163984,0,163984,NonResidential,Hotel,Hotel,Hotel,None,None,163984.0,0.0,0.0,0.0,7297919.0,6425900.0,13723820.0,83.69999695,43.0,392.16,112,1.0,0.0,0.5317702359838588,0.4682296911501317,0.0,15.0
10,1969,1.0,11,153163,19279,133884,NonResidential,Hotel,Hotel,Hotel,None,None,133884.0,0.0,0.0,5237165.5,6187627.0,4591850.0,16016644.0,119.5999985,30.0,691.26,47,0.8741275634454797,0.12587243655452035,0.386324813113159,0.2866923932379342,0.32698269999632884,11.0
11,1998,1.0,25,333176,61161,272015,NonResidential,Hotel,Hotel,Hotel,None,None,336640.0,0.0,0.0,5999360.5,18083049.0,2858700.0,26941110.0,80.0,36.0,740.97,18,0.8164303551276202,0.18356964487237976,0.6712065315794338,0.10610921376290731,0.22268423609866111,25.0
12,1928,1.0,9,65009,0,65009,NonResidential,Hotel,Hotel,Hotel,None,None,65009.0,0.0,0.0,1656352.5,1343000.0,3596705.0,6596057.5,101.5,48.0,328.23,88,1.0,0.0,0.2036064725027033,0.5452810258248961,0.2511125016724005,9.0
13,1980,1.0,33,315952,57600,258352,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,295511.0,57600.0,0.0,4337738.5,13904183.0,4083440.0,22325364.0,75.5,58.0,648.62,36,0.8176938269104168,0.18230617308958322,0.6227975946999117,0.18290586437918774,0.19429642894064347,33.0
14,1922,1.0,11,92190,25200,66990,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,67390.0,25200.0,0.0,4870847.5,3832369.0,2046793.0,10750010.0,159.5,35.0,511.39,94,0.7266514806378133,0.2733485193621868,0.3564991102333858,0.19039917172170073,0.4531016715333288,11.0
15,2004,1.0,11,412000,57000,355000,Nonresidential COS,Other,"Data Center, Library, Parking",Library,Parking,Data Center,364913.0,49000.0,1074.0,737559.5,17851297.0,0.0,18588860.0,50.79999924,,181.38,12,0.8616504854368932,0.1383495145631068,0.9603223113197904,0.0,0.0396775003953981,11.0
16,1930,1.0,6,103911,0,103911,NonResidential,Other,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,Swimming Pool,90000.0,40000.0,0.0,4592347.5,4453868.0,910180.0,9956396.0,76.59999847,,433.86,86,1.0,0.0,0.44733736986757056,0.09141661299932224,0.4612459669141324,6.0
17,1983,1.0,28,416281,85000,331281,NonResidential,Hotel,"Hotel, Parking",Hotel,Parking,None,348329.0,85000.0,0.0,0.0,21225277.0,12331475.0,33556756.0,96.30000305,31.0,802.89,33,0.7958110026640659,0.20418899733593415,0.6325187392964922,0.3674811415024742,0.0,28.0
18,1907,1.0,5,57452,0,57452,NonResidential,Mixed Use Property,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,Restaurant,Office,16442.0,15505.0,9741.0,1776201.875,3764791.0,2065091.0,7606084.5,132.3999939,,273.02,109,1.0,0.0,0.4949709669935957,0.2715051351322747,0.23352381570307298,5.0
